"['Ahri', 'Irelia', 'Janna', 'Jinx', 'RekSai']","['Elise', 'Fizz', 'Gnar', 'Sivir', 'Thresh']",0.0
"['Ahri', 'Caitlyn', 'Gnar', 'Leona', 'Rengar']","['Annie', 'Azir', 'Corki', 'Irelia', 'JarvanIV']",1.0
"['Annie', 'Fizz', 'Renekton', 'Rengar', 'Sivir']","['Azir', 'Corki', 'Janna', 'LeeSin', 'Sion']",0.0
"['Irelia', 'JarvanIV', 'Leblanc', 'Sivir', 'Thresh']","['Gnar', 'Janna', 'KogMaw', 'Lulu', 'Nunu']",1.0
"['Gnar', 'Janna', 'JarvanIV', 'Lissandra', 'Tristana']","['Annie', 'Corki', 'Lulu', 'RekSai', 'Sion']",0.0
"['Annie', 'Kassadin', 'Leblanc', 'Rengar', 'Sivir']","['Corki', 'Gnar', 'JarvanIV', 'Lulu', 'Thresh']",1.0
"['Corki', 'Irelia', 'Janna', 'JarvanIV', 'Xerath']","['Leblanc', 'LeeSin', 'Nami', 'Renekton', 'Tristana']",0.0
"['Annie', 'Azir', 'Caitlyn', 'JarvanIV', 'Renekton']","['Blitzcrank', 'Leblanc', 'Rengar', 'Rumble', 'Sivir']",0.0
"['Janna', 'KogMaw', 'Orianna', 'RekSai', 'Sion']","['Corki', 'Kassadin', 'Morgana', 'Vi', 'Zed']",1.0
"['Irelia', 'Nami', 'Nocturne', 'Orianna', 'Sivir']","['Gnar', 'Graves', 'Leblanc', 'Morgana', 'Rengar']",0.0
"['Azir', 'Corki', 'Gnar', 'JarvanIV', 'Morgana']","['Ezreal', 'Janna', 'LeeSin', 'Lulu', 'Xerath']",0.0
"['Graves', 'JarvanIV', 'Jax', 'Kassadin', 'Morgana']","['Ahri', 'Corki', 'Gnar', 'RekSai', 'Thresh']",0.0
"['Annie', 'Irelia', 'Kalista', 'Lissandra', 'Vi']","['Ahri', 'Gnar', 'JarvanIV', 'Leona', 'Sivir']",0.0
"['Corki', 'Janna', 'LeeSin', 'Lulu', 'Xerath']","['Blitzcrank', 'Cassiopeia', 'JarvanIV', 'Kalista', 'Sion']",1.0
"['Annie', 'JarvanIV', 'Kalista', 'Leblanc', 'Maokai']","['Janna', 'Lulu', 'Morgana', 'Rengar', 'Tristana']",0.0
"['Caitlyn', 'Morgana', 'Rumble', 'Vi', 'Zed']","['Corki', 'Gnar', 'Janna', 'Leblanc', 'RekSai']",0.0
"['Azir', 'Gnar', 'JarvanIV', 'KogMaw', 'Nami']","['Janna', 'LeeSin', 'Maokai', 'Sivir', 'Zed']",1.0
"['JarvanIV', 'Lissandra', 'Morgana', 'Tristana', 'Xerath']","['Ahri', 'Caitlyn', 'Gnar', 'Janna', 'Nunu']",0.0
"['Gnar', 'KogMaw', 'Leblanc', 'LeeSin', 'Nami']","['Graves', 'Janna', 'JarvanIV', 'Malphite', 'Orianna']",0.0
"['Ahri', 'Janna', 'Rengar', 'Sion', 'Sivir']","['Corki', 'JarvanIV', 'Kalista', 'Lissandra', 'Thresh']",1.0
"['Corki', 'Kalista', 'Lulu', 'Morgana', 'RekSai']","['Ahri', 'Annie', 'Graves', 'LeeSin', 'Rumble']",1.0
"['Annie', 'Graves', 'Kassadin', 'Maokai', 'Vi']","['Corki', 'Irelia', 'JarvanIV', 'Leona', 'Sivir']",0.0
"['Azir', 'Corki', 'RekSai', 'Thresh', 'Vi']","['LeeSin', 'Maokai', 'Morgana', 'Sivir', 'Xerath']",1.0
"['Lissandra', 'Nami', 'RekSai', 'Vayne', 'Xerath']","['Cassiopeia', 'JarvanIV', 'Morgana', 'Sion', 'Sivir']",0.0
"['Gnar', 'Janna', 'JarvanIV', 'Kassadin', 'Sivir']","['Irelia', 'Jinx', 'Morgana', 'Nidalee', 'Vi']",1.0
"['Graves', 'Leblanc', 'Morgana', 'Rumble', 'Vi']","['Janna', 'JarvanIV', 'Lucian', 'Maokai', 'Xerath']",0.0
"['Alistar', 'Ezreal', 'LeeSin', 'Lissandra', 'Sivir']","['Azir', 'Corki', 'Irelia', 'Janna', 'Vi']",0.0
"['Annie', 'Ezreal', 'Maokai', 'Vayne', 'Vi']","['Ahri', 'JarvanIV', 'Morgana', 'Rumble', 'Sivir']",1.0
"['Graves', 'Jax', 'Lissandra', 'Morgana', 'RekSai']","['Annie', 'Gnar', 'Kalista', 'LeeSin', 'Lulu']",0.0
"['Ahri', 'Janna', 'Jinx', 'Sion', 'Vi']","['Graves', 'LeeSin', 'Maokai', 'Morgana', 'Yasuo']",0.0
"['Irelia', 'Kalista', 'Leblanc', 'RekSai', 'Thresh']","['JarvanIV', 'Jinx', 'Morgana', 'Nidalee', 'Sion']",1.0
"['Graves', 'Kassadin', 'Lissandra', 'Morgana', 'Vi']","['Ezreal', 'Leona', 'Maokai', 'RekSai', 'Sivir']",0.0
"['Gnar', 'JarvanIV', 'Leblanc', 'Sivir', 'Thresh']","['Janna', 'Kalista', 'Maokai', 'Nidalee', 'Zed']",1.0
"['Draven', 'Kassadin', 'Maokai', 'RekSai', 'Thresh']","['Ahri', 'Graves', 'JarvanIV', 'Leona', 'Rumble']",1.0
"['Braum', 'Graves', 'JarvanIV', 'Maokai', 'Xerath']","['Janna', 'Lissandra', 'Sivir', 'Vi', 'Zed']",1.0
"['Ahri', 'Graves', 'Leona', 'Lissandra', 'RekSai']","['Janna', 'Kassadin', 'Lucian', 'Maokai', 'Vi']",0.0
"['Jinx', 'Lissandra', 'Morgana', 'Rumble', 'Vi']","['Gnar', 'Graves', 'JarvanIV', 'Thresh', 'Xerath']",0.0
"['Corki', 'Gnar', 'Janna', 'Lissandra', 'Vi']","['Ahri', 'Annie', 'JarvanIV', 'Sion', 'Sivir']",1.0
"['Graves', 'Maokai', 'Thresh', 'Vi', 'Zed']","['Azir', 'Janna', 'JarvanIV', 'Swain', 'Tristana']",0.0
"['Annie', 'Corki', 'Kassadin', 'LeeSin', 'Renekton']","['Maokai', 'Morgana', 'Orianna', 'Sivir', 'Vi']",0.0
"['Fizz', 'Janna', 'Jinx', 'RekSai', 'Xerath']","['Annie', 'Graves', 'Leblanc', 'Maokai', 'Vi']",1.0
"['Ahri', 'Annie', 'Gnar', 'Graves', 'RekSai']","['Kassadin', 'Maokai', 'Morgana', 'Nunu', 'Sivir']",1.0
"['Corki', 'Maokai', 'Nidalee', 'Veigar', 'Zed']","['DrMundo', 'Graves', 'Leblanc', 'LeeSin', 'Thresh']",0.0
"['Kassadin', 'Lucian', 'Morgana', 'RekSai', 'Rumble']","['Ahri', 'Braum', 'Maokai', 'Tristana', 'Vi']",1.0
"['Ahri', 'Janna', 'Jinx', 'Maokai', 'Vi']","['Blitzcrank', 'Kassadin', 'RekSai', 'Sivir', 'Zed']",0.0
